row_type,dataset_type,meeting_id,candidate_model,deepeval_holistic_accuracy,deepeval_holistic_coverage,system_accuracy,system_completeness,system_coverage,holistic_accuracy_delta_vs_system,holistic_coverage_delta_vs_system,accuracy_reason,coverage_reason,candidate_path,gt_path,report_path,note
meeting_model,whitehouse_press_briefings,whpb_20230329_press,gpt-51,0.982,0.985,0.395,0.875,1.000,+0.587,-0.015,"The actual summary comprehensively covers all key points from the expected summary without contradictions, including detailed coverage of the Nashville shooting, Narcan approval, Vice President Harris’s Africa trip, Summit for Democracy commitments, Taiwan transit, U.S.–China relations, and domestic policy issues. It is coherent, logically structured, and closely follows the flow of the original transcript. No unsupported or fabricated details are present, and the level of certainty expressed aligns with the source content, reflecting appropriate caution and emphasis where needed.","The Actual Output comprehensively includes all major actions from the Expected Output, such as the First Lady's Nashville vigil, FDA Narcan approval, Vice President Harris's Africa trip and investments, and the $690 million Summit for Democracy commitment. Key dates and quantities, like the $690 million investment and the seven-day Africa trip, are accurately reflected. Important decisions, including Biden's push for an assault weapons ban, support for repealing Iraq AUMFs, and the administration's stance on Taiwan transit and China relations, are clearly presented. The response also covers all significant topics like the CBP One app issues, military promotion holds, and diplomatic nuances, matching the detailed summaries in the Expected Output without notable omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230329_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230329_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230329_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230425_press,gpt-41-mini,0.932,0.906,0.396,0.839,0.710,+0.536,+0.196,"The actual summary is highly faithful to the expected summary, covering all key topics such as LGBTQI+ representation, Speaker McCarthy's budget critique, Washington State's assault weapons ban, Harry Belafonte's passing, Hatch Act compliance, South Korea visit, Sudan ceasefire, Inflation Reduction Act implementation, President Biden's 'finishing the job' theme, gun violence, Uganda anti-LGBTQ+ legislation, NATO accession, Equal Rights Amendment, police accountability, and Defense Department nomination holds. All points are supported by the transcript and align with the expected summary without contradictions. The tone and certainty expressed are appropriate and consistent with the expected summary. Minor deductions are due to the actual summary's extensive detail, which slightly exceeds the expected summary's scope but does not introduce unsupported information.","The Actual Output comprehensively covers all major topics and key decisions outlined in the Expected Output, including LGBTQI+ representation, Speaker McCarthy's budget critique, Washington State's assault weapons ban, Harry Belafonte's passing, Hatch Act compliance, South Korea visit, Sudan ceasefire, Inflation Reduction Act implementation, President Biden's 'finishing the job' theme, gun violence, Uganda anti-LGBTQ+ legislation, NATO accession, Equal Rights Amendment support, police accountability, and Defense Department nomination holds. Important dates such as the April 24th Sudan ceasefire are accurately reflected. Quantities like Medicaid access reductions and military nomination holds are correctly stated. Minor omissions include some specific references to the 2024 campaign team and certain nuanced details from the ground truth, but these do not significantly detract from the overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230425_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230425_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230425_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230329_press,gpt-5-mini,0.956,0.956,0.500,0.879,0.871,+0.456,+0.085,"The actual summary is highly faithful to the original meeting content and aligns closely with the expected summary, covering all key points such as the First Lady's vigil attendance, Narcan approval, VP Harris's Africa trip, Summit for Democracy funding, Taiwan transit, and other topics without contradictions. It avoids unsupported additions and maintains an appropriate tone of certainty consistent with the transcript and expected summary.","The Actual Output comprehensively covers all major actions from the Expected Output, including the First Lady's Nashville vigil attendance, FDA Narcan approval, VP Harris's Africa trip and investments, Summit for Democracy funding, Argentina bilateral meeting, Taiwan transit and China relations, diplomatic call transparency, summit participation criteria, Israel judicial reform stance, TikTok security concerns, Xi-Zelenskyy dialogue support, Senator Tuberville's military promotion hold, Ukraine aid oversight, Venezuela engagement, migrant detention fire response, CBP One app issues, fentanyl crisis messaging, debt limit and budget discussions, gun policy specifics, classified documents oversight, and AUMF repeal support. Important dates and quantities, such as the $690 million funding and nearly $1 billion investment, are accurately reflected. Key decisions and policy positions are clearly stated, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230329_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230329_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230329_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230425_press,gpt-51,0.998,1.000,0.287,0.897,1.000,+0.711,+0.000,"The actual summary comprehensively covers all key points from the expected summary without contradictions, maintaining coherence and logical flow that mirrors the original transcript. It accurately represents details such as the focus on LGBTQI+ visibility, critiques of McCarthy's debt limit proposal, gun safety initiatives, foreign policy stances, economic defenses, and administrative procedures like Hatch Act compliance. No unsupported or fabricated information is present, and the level of certainty expressed aligns with the source content, reflecting appropriate caution and deferral where necessary.","The Actual Output comprehensively covers all major actions, key decisions, and quantities detailed in the Expected Output, including specific dates like the April 24 Sudan ceasefire, detailed policy critiques of McCarthy's debt proposal with precise figures, and extensive coverage of topics such as LGBTQ+ visibility, gun legislation, and foreign policy. It accurately reflects all important dates, key participants, and policy positions, demonstrating strong alignment with the evaluation steps.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230425_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230425_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230425_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230427_press_d,gpt-41-mini,0.922,0.900,0.625,0.844,0.867,+0.297,+0.033,"The actual summary comprehensively covers all key points from the expected summary, including the sanctions' targets, legal basis, engagement with families, and the strategic use of sanctions as both punitive and negotiation tools. It is coherent, logically structured, and reflects the flow of the original transcript. There are no unsupported or fabricated details, and the level of certainty expressed aligns well with the expected content. Minor deductions are due to slight differences in phrasing and the absence of explicit mention of some individual case details present in the expected output.","The Actual Output comprehensively covers all major actions from the Expected Output, including sanctions targeting Russia's FSB and Iran's IRGC-IO, the legal framework under Executive Order 14078 and the Levinson Act, and engagement with families. It accurately reflects key decisions such as the sanctions' timing relative to recent detentions and the use of sanctions as negotiation tools. Quantities like the four IRGC-IO leaders sanctioned are clearly stated. Minor omissions include less explicit mention of some individual case details and specific participant references, but overall alignment with the evaluation steps is strong.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230427_press_d/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230427_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230427_press_d/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230425_press,gpt-5-mini,0.985,0.998,0.500,0.855,0.984,+0.485,+0.014,"The actual summary comprehensively covers all key points from the expected summary without contradictions, maintaining coherence and logical structure that reflects the original transcript's flow. It accurately represents details such as the administration's stance on the McCarthy proposal, LGBTQI+ visibility, Sudan ceasefire diplomacy, economic messaging, and various policy issues, without fabrications. The level of certainty expressed aligns with the expected content, appropriately deferring or emphasizing certainty where justified.","The Actual Output comprehensively includes all major actions, key decisions, and quantities detailed in the Expected Output. It accurately reflects important dates such as the April 24 Sudan ceasefire, correctly states quantities like 780,000 jobs lost and 21 million Medicaid enrollees affected, and clearly presents the administration's stances on default negotiations, gun violence legislation, and foreign policy issues. The response thoroughly covers all topics and participants outlined in the Expected Output, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230425_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230425_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230425_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230427_press_d,gpt-5-mini,0.962,0.992,0.400,0.875,1.000,+0.562,-0.008,"The actual summary is highly faithful to the expected summary, covering all key points such as the sanctions announcement under Executive Order 14078, the four-part approach, targeted entities (FSB and IRGC-IO), individual designations, and the role of the Robert Levinson Act. It avoids unsupported additions, maintains appropriate certainty aligned with the transcript, and reflects the tone and content of the expected output without contradictions.","The Actual Output fully includes all major actions from the Expected Output, such as the announcement of sanctions under Executive Order 14078, the focus on wrongful detention and hostage-taking, and the four-part approach. Key dates like the July 2022 issuance of the executive order are accurately reflected. The designation of Russia's FSB, Iran's IRGC-IO, and four IRGC-IO leaders is clearly stated, along with the rationale and intended impact of sanctions. The response also covers family engagement, specific detainee cases, and the coordination to avoid undermining negotiations, matching the detailed topics and decisions in the Expected Output without significant omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230427_press_d/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230427_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230427_press_d/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230427_press_d,gpt-51,1.000,0.996,0.269,0.910,1.000,+0.731,-0.004,"The actual summary is highly faithful to the transcript content and aligns closely with the expected summary, covering all key points such as the four-part strategy, legal basis of EO 14078, sanctions on Russia's FSB and Iran's IRGC-IO including individual designations, family engagement, and the timing related to Gershkovich's case. There are no unsupported additions or contradictions, and the tone of certainty is appropriately measured, reflecting the nuanced and cautious language of the officials without overstating claims.","The Actual Output comprehensively includes all major actions from the Expected Output, such as the announcement of sanctions on Russia's FSB and Iran's IRGC-IO, the legal basis with EO 14078 and the Levinson Act, the four-part strategy, designation of specific IRGC-IO officials, family engagement, and handling of specific cases like Fogel and Gershkovich. Important dates, including the July 2022 signing of EO 14078, are accurately reflected. Key decisions, such as the use of sanctions as a deterrent and the possibility of lifting sanctions, are clearly presented. Quantities, including the four IRGC-IO leaders designated and multiple entities sanctioned, are correctly stated without significant omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230427_press_d/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230427_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230427_press_d/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230520_press,gpt-41-mini,0.906,0.900,0.409,0.778,0.726,+0.497,+0.174,"The actual summary comprehensively covers all key points from the expected summary, including G7 unity, support for Ukraine with F-16 training, economic security and China policy, clean energy commitments, Quad Summit cooperation, AI governance, nuclear disarmament, and U.S. debt negotiations. It is coherent, logically structured, and reflects the flow of the original transcript. Minor deductions stem from slight elaborations and some phrasing that could imply more certainty than the expected summary, but no unsupported or fabricated details are present.","The Actual Output comprehensively covers all major actions from the Expected Output, including detailed discussion of G7 unity, support for Ukraine with F-16 training, economic security measures, China policy, clean energy commitments, Quad Summit participation, and debt limit negotiations. Key decisions such as the phased F-16 training approach, outbound investment screening, and President Zelenskyy's visit are clearly stated. Quantities like the $3 trillion deficit reduction and approximately 300 sanctions are accurately reflected. Minor omissions include some specific procedural details and exact phrasing from the Expected Output, but overall alignment is strong and all critical elements are present.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230520_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230520_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230520_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230520_press,gpt-5-mini,0.912,0.968,0.527,0.858,0.984,+0.385,-0.016,"The actual summary comprehensively covers all key points from the expected summary, including G7 unity, sanctions on Russia, F-16 training, economic security tools, approach to China, clean energy commitments, AI norms, nuclear disarmament, U.S. debt-limit negotiations, and President Biden's travel plans. It maintains coherence and logical structure, reflecting the flow of the original transcript. There are no unsupported or fabricated details, and the level of certainty expressed aligns with the expected content. Minor deductions are due to slight verbosity and some paraphrasing that could be more concise, but overall alignment is strong.","The Actual Output comprehensively covers all major actions, key decisions, and significant quantities outlined in the Expected Output, including detailed discussion of G7 unity, sanctions on Russia, F-16 pilot training, economic security tools, approach to China, clean energy commitments, AI norms, nuclear disarmament, debt-limit negotiations, and President Biden's travel plans. All important dates and figures, such as the $3 trillion deficit reduction over 10 years and the President's early return from Hiroshima, are accurately reflected. The attributions to Sullivan and Jean-Pierre are clear, and the response includes all significant topics and follow-ups, demonstrating strong alignment with the evaluation steps.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230520_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230520_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230520_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230528_press_d,gpt-41-mini,0.918,0.902,0.562,0.851,0.921,+0.356,-0.019,"The actual summary comprehensively covers all key points from the expected summary, including bipartisan budget agreement details, appropriations, safety net protections, environmental safeguards, IRS funding clarifications, deficit reduction mechanisms, debt limit suspension, and administrative PAYGO waiver authority. It is coherent, logically structured, and closely follows the flow of the original transcript. Minor deductions stem from slight differences in phrasing and the absence of explicit mention of the moderator and some participant details, but no unsupported or fabricated information is present, and the certainty expressed aligns well with the expected content.","The Actual Output comprehensively covers all major actions from the Expected Output, including the bipartisan budget agreement, appropriations details, safety net protections, climate safeguards, federal permitting enhancements, IRS funding clarifications, deficit reduction mechanisms, debt limit suspension, and PAYGO waiver authority. Key dates such as the debt limit suspension through January 1, 2025, and the two-year waiver authority are accurately reflected. Quantities like the 1% spending increase in 2025 and the $1 trillion discretionary savings estimate are correctly included. Minor omissions include less explicit mention of the moderator and some participant details, but these do not detract from the core content alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230528_press_d/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230528_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230528_press_d/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230520_press,gpt-51,0.988,0.978,0.560,0.881,0.952,+0.428,+0.026,"The actual summary comprehensively covers all key points from the expected summary, including G7 unity, sanctions on Russia, F-16 training for Ukraine, economic security, China policy, clean energy, PGII, Quad summit, AI governance, nuclear disarmament, arms support, Ukraine diplomacy, engagement with emerging economies, debt ceiling negotiations, and White House budget stance. It is coherent, logically structured, and reflects the flow of the original transcript without contradictions or unsupported details. The level of certainty expressed aligns with the expected cautious optimism and firm stances presented in the briefing.","The Actual Output comprehensively covers all major actions, key decisions, and quantities outlined in the Expected Output, including detailed discussions on G7 unity, sanctions on Russia, F-16 training for Ukraine, economic security, China policy, clean energy, PGII, AI governance, nuclear disarmament, arms support, diplomacy with emerging powers, debt ceiling negotiations, and White House budget stance. Important dates and figures, such as the 300 sanctions and the $3 trillion deficit reduction over 10 years, are accurately reflected. The response aligns closely with the ground truth summaries, demonstrating full adherence to the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230520_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230520_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230520_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230528_press_d,gpt-5-mini,0.944,0.962,0.416,0.872,0.921,+0.528,+0.041,"The actual summary is highly faithful to the expected summary, covering all key points such as the bipartisan budget agreement details, appropriations structure, protections for veterans and defense funding, safety net program changes, climate and environmental protections, permitting reforms, IRS funding clarifications, and debt limit suspension. It avoids unsupported additions and maintains appropriate certainty levels consistent with the transcript and expected summary. Minor deductions reflect slight differences in phrasing and some nuanced emphasis, but no contradictions or unjustified overstatements are present.","The Actual Output comprehensively includes all major actions from the Expected Output, accurately reflecting key dates such as the debt limit suspension through January 1, 2025. It clearly presents all key decisions, including budget appropriations, SNAP and TANF reforms, Medicaid protections, environmental safeguards, permitting reforms with specific deadlines, IRS funding details, and the administrative PAYGO waiver. Quantities such as the 1 percent spending increase in 2025, the $1 trillion+ discretionary savings estimate, and the 10-year IRS appropriation are correctly stated, with no significant omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230528_press_d/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230528_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230528_press_d/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230528_press_d,gpt-51,1.000,0.973,0.368,0.904,0.895,+0.632,+0.078,"The actual summary is highly faithful to the expected summary, covering all key points such as the bipartisan budget agreement, debt limit suspension, appropriations framework, protections for domestic programs, Medicaid, SNAP, TANF, climate and environmental safeguards, permitting reforms, IRS funding repurposing, deficit reduction estimates, appropriations backstop, and administrative PAYGO provisions. All details are supported by the transcript and align with the expected summary without contradictions. There are no unsupported additions or overstated certainties; the summary carefully reflects the officials' cautious language and pending CBO scoring. The comprehensive and detailed nature of the actual output demonstrates strong alignment with the evaluation criteria.","The Actual Output comprehensively includes all major actions from the Expected Output, accurately reflecting key dates such as the debt limit suspension through January 1, 2025. It clearly states critical decisions like the bipartisan budget agreement, appropriations framework, protection of domestic programs, and climate safeguards. Quantities such as the $1 trillion discretionary savings, IRS funding repurposing, and specific spending levels are precisely detailed. The response thoroughly covers all important topics including SNAP and TANF changes, NEPA reforms, administrative PAYGO, and the appropriations backstop, fully aligning with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230528_press_d/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230528_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230528_press_d/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230531_press,gpt-41-mini,0.927,0.956,0.534,0.838,0.887,+0.393,+0.069,"The actual summary is highly faithful to the expected summary, covering all key topics such as Ukraine support, U.S.-China tensions, domestic policy, and international issues without contradictions. It accurately reflects the tone and certainty levels present in the expected output, including appropriate deferrals and emphasis on Ukrainian autonomy. Minor deductions stem from the actual summary's extensive detail, which slightly exceeds the expected summary's conciseness but does not introduce unsupported information.","The Actual Output comprehensively includes all major actions, key decisions, and quantities outlined in the Expected Output, accurately reflecting important dates and details such as the 39th drawdown package for Ukraine, the China military intercept incident, Ukraine's counteroffensive timing, and the bipartisan debt ceiling agreement. It thoroughly covers all topics and participants mentioned, with no significant omissions or inaccuracies.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230531_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230531_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230531_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230601_press_d,gpt-41-mini,0.903,0.901,0.339,0.883,1.000,+0.564,-0.099,"The actual summary comprehensively covers all key points from the expected summary, including the conflict's outbreak, humanitarian impact, sanctions on companies and individuals, diplomatic efforts, and humanitarian aid. It is coherent and logically structured, reflecting the flow of the original transcript. The summary avoids unsupported or fabricated details and maintains an appropriate level of certainty consistent with the expected content. Minor deductions are due to slight differences in emphasis and some details (e.g., specific individuals like Hemedti and Burhan) being less explicitly addressed.","The Actual Output comprehensively covers all major actions from the Expected Output, including the outbreak of fighting on April 15th, sanctions on four companies linked to both SAF and RSF, visa restrictions, diplomatic efforts, and humanitarian aid exceeding $245 million. Key dates and quantities are accurately reflected, and the rationale behind sanctions and enforcement is clearly explained. Minor omissions include less explicit mention of some individual participants and specific references to President Biden's authority to impose sanctions, but these do not significantly detract from the overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230601_press_d/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230601_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230601_press_d/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230531_press,gpt-5-mini,0.932,0.962,0.386,0.877,0.935,+0.546,+0.027,"The actual summary is highly faithful to the expected content, covering all key points such as Ukraine support, Chinese intercept, Moscow drone strike, DPRK launches, debt-limit agreement, and other topics without contradictions. It maintains an appropriate tone of certainty aligned with the original briefing, avoiding unsupported or fabricated details. Minor deductions reflect the extensive detail that slightly exceeds the concise nature of the expected summaries but does not introduce inaccuracies.","The Actual Output comprehensively includes all major actions, key decisions, and quantities from the Expected Output, accurately reflecting important dates such as the 39th presidential drawdown and the June 5th deadline for the debt-limit agreement. It clearly states key policy positions on Ukraine support, Russian strikes, China intercepts, and other foreign and domestic issues, matching the detailed summaries in the Expected Output without omitting significant information.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230531_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230531_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230531_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20230531_press,gpt-51,0.932,0.985,0.361,0.871,0.984,+0.571,+0.001,"The actual summary comprehensively covers the key points from the expected summary, accurately reflecting the broad agenda of the briefing including Ukraine aid, China and North Korea issues, domestic budget negotiations, and other foreign policy topics. It is coherent and logically structured, mirroring the flow of the original transcript. There are no notable fabrications or contradictions, and the level of certainty expressed aligns well with the expected cautious and nuanced tone. Minor deductions stem from slight differences in emphasis and some details being more elaborated in the actual summary, but these do not detract from overall alignment.","The Actual Output comprehensively includes all major actions, key decisions, and quantities detailed in the Expected Output. It accurately reflects important dates such as the June 5 X-date, correctly states the $300 million military aid package and $1.2 trillion deficit reduction figures, and clearly presents the U.S. stance on Ukraine, China, Iran, Sudan, and domestic budget negotiations. The response thoroughly covers all topics and participants outlined, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20230531_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20230531_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20230531_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
